	E1	E3
ADRM1	69.0	71.0
ADSL	139.0	131.0
ADSS2	129.0	237.0
AEBP1	11.0	0.0
AEBP2	4.0	7.0
AEN	270.0	350.0
AFAP1-AS1	0.0	6.0
AFAP1L2	7.0	59.0
AFDN	26.0	15.0
AFF1	41.0	60.0
AFF3	0.0	4.0
AFF4	34.0	37.0
AFG1L	5.0	10.0
AFG3L1P	5.0	6.0
AFG3L2	384.0	665.0
AFMID	3.0	6.0
AFTPH	381.0	452.0
AFTPH-DT	21.0	99.0
AGA	39.0	50.0
AGAP2	24.0	13.0
AGAP3	2.0	0.0
AGBL1	0.0	3.0
AGBL3	2.0	2.0
AGBL5	53.0	38.0
AGBL5_TMEM214	0.0	3.0
AGFG1	4.0	11.0
AGFG2	2.0	0.0
AGGF1	102.0	149.0
AGK	200.0	208.0
AGL	59.0	128.0
AGO1	50.0	95.0
AGO2	10.0	2.0
AGO3	48.0	35.0
AGPAT1	5.0	0.0
AGPAT2	13.0	3.0
AGPAT3	206.0	98.0
AGPAT4	11.0	5.0
AGPAT5	434.0	778.0
AGPS	202.0	354.0
AGRN	177.0	41.0
AGRN_ENSG00000242590	3.0	0.0
AGTPBP1	351.0	359.0
AGTRAP	3.0	4.0
AHCTF1	45.0	63.0
AHCTF1_KIF28P	2.0	0.0
AHCY	276.0	195.0
AHCYL1	24.0	6.0
AHCYL2	7.0	7.0
AHDC1	31.0	18.0
AHI1	4.0	8.0
AHNAK	63.0	10.0
AHR	30.0	13.0
AHRR	124.0	227.0
AHSA1	90.0	60.0
AICDA	58.0	0.0
AIDA	225.0	308.0
AIF1	2.0	0.0
AIFM1	193.0	265.0
AIFM2	120.0	85.0
AIG1	21.0	26.0
AIM2	38.0	3.0
AIMP1	70.0	83.0
AIMP2	32.0	34.0
AIP	51.0	18.0
AJUBA	10.0	0.0
AK2	1019.0	1169.0
AK3	204.0	100.0
AK4	260.0	419.0
AK6	39.0	9.0
AK7	8.0	0.0
AK9	2.0	7.0
AKAP1	4.0	15.0
AKAP1-DT	2.0	0.0
AKAP10	0.0	49.0
AKAP11	68.0	220.0
AKAP13	277.0	433.0
AKAP17A	0.0	3.0
AKAP3	8.0	6.0
AKAP6	0.0	5.0
AKAP8	169.0	217.0
AKAP8L	3.0	2.0
AKAP9	4.0	0.0
AKIP1	12.0	4.0
AKIRIN1	315.0	502.0
AKIRIN2	98.0	120.0
AKNA	727.0	939.0
AKR1A1	90.0	39.0
AKR1B1	101.0	101.0
AKR7A2	48.0	18.0
AKT1	0.0	7.0
AKT1S1	3.0	6.0
AKT2	272.0	242.0
AKT3	0.0	2.0
AKTIP	9.0	4.0
ALAD	96.0	87.0
ALAS1	267.0	298.0
ALCAM	237.0	396.0
ALDH16A1	40.0	60.0
ALDH18A1	995.0	1608.0
ALDH1A3-AS1	0.0	2.0
ALDH1B1	241.0	464.0
ALDH1L1	0.0	17.0
ALDH1L2	93.0	132.0
ALDH2	47.0	14.0
ALDH3A2	67.0	39.0
ALDH4A1	11.0	27.0
ALDH5A1	91.0	160.0
ALDH6A1	9.0	12.0
ALDH7A1	2.0	11.0
ALDH9A1	119.0	153.0
ALDOA	1987.0	753.0
ALDOC	607.0	131.0
ALG1	57.0	66.0
ALG10	21.0	23.0
ALG10B	0.0	19.0
ALG11	27.0	80.0
ALG12	2.0	2.0
ALG13	62.0	96.0
ALG14	6.0	7.0
ALG1L10P_LINC02449	4.0	0.0
ALG1L13P	0.0	4.0
ALG2	113.0	118.0
ALG5	35.0	26.0
ALG6	19.0	43.0
ALG8	41.0	65.0
ALG9	52.0	52.0
ALKBH1	24.0	17.0
ALKBH2	2.0	7.0
ALKBH3	39.0	34.0
ALKBH3_ENSG00000254409	2.0	0.0
ALKBH4	31.0	19.0
ALKBH5	1667.0	1079.0
ALKBH6	9.0	5.0
ALKBH7	14.0	3.0
ALKBH8	24.0	82.0
ALMS1	2.0	8.0
ALOX12B	2.0	0.0
ALOX5	381.0	98.0
ALOX5AP	5.0	2.0
ALPK1	141.0	54.0
ALPK2	13.0	2.0
ALS2	63.0	59.0
AMACR	25.0	19.0
AMBRA1	118.0	189.0
AMD1	889.0	1582.0
AMDHD2	22.0	15.0
AMFR	7.0	8.0
AMIGO3	9.0	0.0
AMIGO3_GMPPB	0.0	15.0
AMMECR1	51.0	111.0
AMMECR1L	103.0	109.0
AMN1	13.0	0.0
AMOT	0.0	7.0
AMOTL1	15.0	0.0
AMOTL2	2.0	0.0
AMPD2	332.0	283.0
AMPD3	246.0	228.0
AMT	2.0	0.0
AMZ1	3.0	13.0
AMZ2	246.0	96.0
AMZ2P1	7.0	0.0
ANAPC1	688.0	1173.0
ANAPC10	10.0	0.0
ANAPC11	32.0	10.0
ANAPC13	40.0	32.0
ANAPC15	12.0	4.0
ANAPC16	143.0	60.0
ANAPC2	73.0	84.0
ANAPC4	68.0	147.0
ANAPC5	534.0	609.0
ANAPC7	90.0	101.0
ANGEL1	108.0	198.0
ANGEL2	131.0	253.0
ANGPTL2	2.0	0.0
ANGPTL4	3.0	0.0
ANK1	17.0	0.0
ANK2	10.0	9.0
ANKEF1	9.0	2.0
ANKFN1	0.0	4.0
ANKFY1	108.0	152.0
ANKH	0.0	14.0
ANKHD1	112.0	142.0
ANKIB1	3.0	26.0
ANKLE1	26.0	26.0
ANKLE2	62.0	94.0
ANKMY1	9.0	12.0
ANKMY2	0.0	14.0
ANKRA2	45.0	31.0
ANKRD10	106.0	122.0
ANKRD11	8.0	9.0
ANKRD12	2.0	7.0
ANKRD13A	50.0	53.0
ANKRD13C	119.0	217.0
ANKRD13D	4.0	7.0
ANKRD17	90.0	72.0
ANKRD23	2.0	0.0
ANKRD26	13.0	7.0
ANKRD27	332.0	368.0
ANKRD28	129.0	151.0
ANKRD34A	4.0	5.0
ANKRD36	0.0	2.0
ANKRD36B	4.0	0.0
ANKRD36BP1	74.0	70.0
ANKRD37	98.0	24.0
ANKRD39	12.0	2.0
ANKRD40	9.0	18.0
ANKRD42	22.0	22.0
ANKRD44	41.0	144.0
ANKRD46	57.0	76.0
ANKRD49	39.0	52.0
ANKRD50	2.0	37.0
ANKRD52	37.0	101.0
ANKRD54	15.0	9.0
ANKRD6	0.0	4.0
ANKS3	5.0	0.0
ANKZF1	252.0	92.0
ANLN	9.0	3.0
ANO10	20.0	24.0
ANO3	0.0	18.0
ANO5	0.0	23.0
ANO6	337.0	480.0
ANO7	6.0	0.0
ANO9	3.0	17.0
ANOS2P	0.0	2.0
ANP32A	559.0	596.0
ANP32B	160.0	104.0
ANP32E	1374.0	1347.0
ANPEP	3.0	0.0
ANTKMT	4.0	0.0
ANTXR2	17.0	83.0
ANTXRLP1	0.0	2.0
ANXA1	48.0	2.0
ANXA11	344.0	72.0
ANXA2	155.0	67.0
ANXA4	186.0	107.0
ANXA5	321.0	251.0
ANXA6	2815.0	651.0
ANXA6_ENSG00000254298	18.0	0.0
ANXA7	305.0	320.0
AOPEP	10.0	10.0
AP1AR	7.0	0.0
AP1AR-DT	2.0	5.0
AP1B1	775.0	1218.0
AP1G1	479.0	631.0
AP1G2	87.0	105.0
AP1M1	283.0	228.0
AP1S1	78.0	51.0
AP1S2	130.0	283.0
AP1S3	64.0	65.0
AP2A1	2.0	0.0
AP2A2	208.0	362.0
AP2B1	1087.0	1491.0
AP2M1	3.0	7.0
AP2S1	42.0	18.0
AP3B1	530.0	873.0
AP3D1	2.0	2.0
AP3M1	518.0	959.0
AP3M2	78.0	150.0
AP3S1	227.0	72.0
AP3S2	41.0	50.0
AP4B1	74.0	76.0
AP4E1	68.0	138.0
AP4M1	4.0	7.0
AP5B1	2.0	0.0
AP5M1	121.0	270.0
AP5S1	2.0	0.0
AP5Z1	91.0	113.0
APAF1	47.0	30.0
APBA3	53.0	22.0
APBB1	5.0	6.0
APBB1IP	32.0	10.0
APBB2	27.0	317.0
APBB3	6.0	10.0
APBB3_SRA1	0.0	2.0
APC	0.0	5.0
APEH	244.0	206.0
APELA	33.0	224.0
APEX1	173.0	99.0
APEX2	135.0	117.0
APH1A	162.0	125.0
API5	1615.0	2646.0
APIP	29.0	10.0
APLF	2.0	8.0
APLP2	45.0	44.0
APMAP	219.0	205.0
APOBEC3B	89.0	15.0
APOBEC3C	41.0	34.0
APOBEC3D	122.0	98.0
APOBEC3F	270.0	397.0
APOBEC3G	177.0	98.0
APOBEC3H	3.0	3.0
APOL1	205.0	45.0
APOL2	55.0	24.0
APOL3	114.0	35.0
APOLD1	195.0	22.0
APOO	8.0	2.0
APP	197.0	323.0
APPBP2	218.0	352.0
APPL1	110.0	101.0
APPL2	3.0	2.0
APRT	61.0	17.0
APTR	6.0	2.0
APTX	59.0	76.0
AQP3	2.0	0.0
AQP9	3.0	0.0
AQR	557.0	904.0
AQR_ZNF770	0.0	2.0
ARAF	139.0	110.0
ARAP1	312.0	493.0
ARAP2	3.0	8.0
ARCN1	1371.0	2399.0
AREL1	256.0	509.0
ARF1	1042.0	628.0
ARF3	437.0	719.0
ARF4	188.0	166.0
ARF5	70.0	28.0
ARF6	87.0	77.0
ARFGAP1	161.0	165.0
ARFGAP2	269.0	334.0
ARFGAP3	250.0	504.0
ARFGEF1	21.0	50.0
ARFGEF2	90.0	104.0
ARFIP1	101.0	146.0
ARFIP2	30.0	37.0
ARFRP1	2.0	2.0
ARG2	4.0	0.0
ARGLU1	169.0	300.0
ARHGAP1	287.0	369.0
ARHGAP10	92.0	133.0
ARHGAP11A	740.0	377.0
ARHGAP11B	3.0	2.0
ARHGAP12	20.0	15.0
ARHGAP15	224.0	160.0
ARHGAP17	850.0	990.0
ARHGAP18	67.0	48.0
ARHGAP19	233.0	329.0
ARHGAP21	2.0	12.0
ARHGAP25	24.0	49.0
ARHGAP26	6.0	12.0
ARHGAP27	41.0	60.0
ARHGAP30	790.0	932.0
ARHGAP31	300.0	360.0
ARHGAP32	0.0	2.0
ARHGAP33	4.0	5.0
ARHGAP35	19.0	27.0
ARHGAP4	212.0	177.0
ARHGAP42	14.0	62.0
ARHGAP44	4.0	11.0
ARHGAP45	620.0	693.0
ARHGAP5	12.0	15.0
ARHGAP6	4.0	8.0
ARHGAP9	114.0	81.0
ARHGDIA	561.0	414.0
ARHGDIB	436.0	349.0
ARHGEF1	264.0	261.0
ARHGEF12	3.0	40.0
ARHGEF17	2.0	0.0
ARHGEF18	89.0	115.0
ARHGEF19	2.0	0.0
ARHGEF2	507.0	534.0
ARHGEF28	7.0	0.0
ARHGEF3	71.0	231.0
ARHGEF35	6.0	4.0
ARHGEF35-AS1	2.0	0.0
ARHGEF39	39.0	25.0
ARHGEF5	3.0	11.0
ARHGEF6	405.0	547.0
ARHGEF7	608.0	649.0
ARHGEF9	53.0	131.0
ARID1A	51.0	199.0
ARID1B	33.0	91.0
ARID2	11.0	14.0
ARID3B	410.0	380.0
ARID3B_UBL7-DT	0.0	19.0
ARID4A	7.0	6.0
ARID4B	2.0	4.0
ARID5A	268.0	109.0
ARID5B	9.0	9.0
ARIH1	6.0	6.0
ARIH2	164.0	181.0
ARIH2OS	2.0	2.0
ARL1	136.0	253.0
ARL11	11.0	6.0
ARL13B	2.0	14.0
ARL14EP	70.0	147.0
ARL15	0.0	7.0
ARL17A	7.0	15.0
ARL17B	19.0	2.0
ARL2	38.0	13.0
ARL2BP	66.0	72.0
ARL3	21.0	11.0
ARL4A	2.0	5.0
ARL4C	2.0	0.0
ARL4D	4.0	0.0
ARL5A	64.0	151.0
ARL5B	95.0	140.0
ARL6	38.0	49.0
ARL6IP1	992.0	981.0
ARL6IP4	65.0	22.0
ARL6IP5	209.0	176.0
ARL6IP6	94.0	84.0
ARL8B	238.0	297.0
ARLNC1	0.0	7.0
ARMC1	59.0	127.0
ARMC10	2.0	0.0
ARMC5	35.0	52.0
ARMC6	85.0	71.0
ARMC7	13.0	10.0
ARMC8	153.0	224.0
ARMC9	34.0	25.0
ARMCX1	0.0	2.0
ARMCX2	33.0	47.0
ARMCX3	82.0	91.0
ARMCX5	52.0	0.0
ARMCX5-GPRASP2	4.0	0.0
ARMCX5-GPRASP2_BHLHB9	7.0	0.0
ARMCX6	28.0	20.0
ARMH3	187.0	321.0
ARMT1	185.0	335.0
ARNT	323.0	446.0
ARNTL	14.0	11.0
ARNTL2	0.0	6.0
ARPC1A	140.0	88.0
ARPC1B	1041.0	680.0
ARPC2	885.0	597.0
ARPC3	246.0	105.0
ARPC4	173.0	157.0
ARPC5L	5.0	11.0
ARPP19	229.0	1480.0
ARRB1	0.0	3.0
ARRB2	77.0	20.0
ARRDC1	19.0	6.0
ARRDC1-AS1	5.0	4.0
ARRDC3	327.0	643.0
ARRDC3-AS1	0.0	4.0
ARSA	16.0	3.0
ARSB	33.0	30.0
ARSD	2.0	0.0
ARSG	13.0	3.0
ARSK	13.0	8.0
ARV1	7.0	14.0
ARVCF	2.0	0.0
ASAH1	184.0	202.0
ASAH2B	32.0	74.0
ASAP1	0.0	3.0
ASB1	18.0	62.0
ASB13	6.0	0.0
ASB16-AS1	7.0	19.0
ASB2	32.0	6.0
ASB3	116.0	71.0
ASB6	55.0	98.0
ASB7	198.0	229.0
ASB8	17.0	30.0
ASCC1	57.0	50.0
ASCC2	223.0	207.0
ASCC3	268.0	446.0
ASCL1	0.0	2.0
ASDURF	2.0	0.0
ASF1A	83.0	74.0
ASF1B	182.0	119.0
ASH1L	6.0	0.0
ASH2L	150.0	173.0
ASL	75.0	29.0
ASMTL	176.0	6.0
ASNS	113.0	123.0
ASNSD1	168.0	396.0
ASPH	63.0	11.0
ASPM	8.0	35.0
ASPSCR1	3.0	2.0
ASRGL1	0.0	3.0
ASS1	6.0	0.0
ASTE1	7.0	5.0
ASTN1	2.0	0.0
ASTN2	2.0	19.0
ASXL1	4.0	3.0
ASXL2	10.0	16.0
ATAD1	484.0	619.0
ATAD2	234.0	340.0
ATAD2B	23.0	50.0
ATAD3A	6.0	5.0
ATAD3B	0.0	3.0
ATAD5	3.0	0.0
ATAT1	4.0	11.0
ATE1	191.0	309.0
ATF1	120.0	97.0
ATF2	720.0	982.0
ATF3	126.0	32.0
ATF4	174.0	105.0
ATF5	241.0	32.0
ATF6	201.0	297.0
ATF6B	191.0	173.0
ATF6B_TNXB	12.0	0.0
ATF7	62.0	92.0
ATF7IP	314.0	574.0
ATF7IP2	55.0	84.0
ATG101	23.0	24.0
ATG12	162.0	91.0
ATG13	203.0	349.0
ATG14	0.0	6.0
ATG16L1	61.0	80.0
ATG16L2	30.0	18.0
ATG2A	10.0	135.0
ATG2B	34.0	72.0
ATG3	133.0	86.0
ATG4A	59.0	68.0
ATG4B	99.0	98.0
ATG4C	102.0	89.0
ATG4D	2.0	0.0
ATG5	65.0	61.0
ATG7	65.0	79.0
ATG9A	199.0	155.0
ATIC	226.0	384.0
ATL2	205.0	285.0
ATL3	237.0	442.0
ATM	10.0	19.0
ATMIN	4.0	10.0
ATN1	5.0	2.0
ATOX1	44.0	29.0
ATP10D	186.0	223.0
ATP11A	33.0	12.0
ATP11B	77.0	105.0
ATP11C	41.0	76.0
ATP13A1	129.0	175.0
ATP13A2	2.0	5.0
ATP13A3	26.0	13.0
ATP1A1	1496.0	1551.0
ATP1A1-AS1	2.0	7.0
ATP1A3	0.0	3.0
ATP1B1	93.0	6.0
ATP1B3	42.0	225.0
ATP23	16.0	6.0
ATP2A1	2.0	0.0
ATP2A2	21.0	37.0
ATP2A3	115.0	92.0
ATP2B1	12.0	16.0
ATP2B1-AS1	0.0	5.0
ATP2B4	4.0	15.0
ATP2C1	959.0	1267.0
ATP4A	4.0	0.0
ATP5F1A	2196.0	2015.0
ATP5F1B	1250.0	1169.0
ATP5F1C	146.0	75.0
ATP5F1D	60.0	22.0
ATP5F1E	86.0	17.0
ATP5IF1	59.0	16.0
ATP5MC1	47.0	16.0
ATP5MC2	133.0	45.0
ATP5MC3	233.0	151.0
ATP5ME	23.0	3.0
ATP5MF	30.0	5.0
ATP5MF_PTCD1	2.0	0.0
ATP5MG	137.0	20.0
ATP5MJ	45.0	8.0
ATP5MK	43.0	7.0
ATP5PB	266.0	139.0
ATP5PD	32.0	11.0
ATP5PF	77.0	19.0
ATP5PO	129.0	38.0
ATP6AP1	125.0	98.0
ATP6AP2	252.0	318.0
ATP6V0A1	333.0	365.0
ATP6V0A2	29.0	57.0
ATP6V0B	67.0	49.0
ATP6V0C	111.0	59.0
ATP6V0D1	82.0	75.0
ATP6V0D1-DT	6.0	0.0
ATP6V0E1	132.0	62.0
ATP6V0E2	27.0	44.0
ATP6V1A	183.0	236.0
ATP6V1B2	441.0	436.0
ATP6V1C1	137.0	162.0
ATP6V1D	52.0	33.0
ATP6V1E1	86.0	39.0
ATP6V1E2	2.0	0.0
ATP6V1F	38.0	14.0
ATP6V1G1	15.0	11.0
ATP6V1H	148.0	135.0
ATP7A	207.0	118.0
ATP7B	0.0	5.0
ATP8A1	221.0	554.0
ATP8B2	2.0	0.0
ATP8B3	9.0	4.0
ATP9B	55.0	125.0
ATPAF1	18.0	6.0
ATPAF2	27.0	19.0
ATPSCKMT	20.0	38.0
ATR	64.0	232.0
ATRAID	47.0	31.0
ATRIP	0.0	2.0
ATRN	4.0	10.0
ATRX	38.0	58.0
ATXN1	13.0	131.0
ATXN10	325.0	380.0
ATXN1L	8.0	51.0
ATXN2	54.0	73.0
ATXN2L	71.0	67.0
ATXN3	36.0	24.0
ATXN7	8.0	6.0
ATXN7L1	5.0	0.0
ATXN7L2	4.0	5.0
ATXN7L3	0.0	8.0
AUH	14.0	14.0
AUNIP	25.0	20.0
AUP1	72.0	46.0
AURKA	196.0	132.0
AURKAIP1	36.0	14.0
AURKAP1	0.0	3.0
AURKB	96.0	35.0
AUTS2	9.0	74.0
AVL9	242.0	273.0
AXIN1	9.0	3.0
AZI2	71.0	39.0
AZIN1	1868.0	1939.0
B2M	7027.0	2493.0
B3GALNT1	15.0	24.0
B3GALNT2	70.0	143.0
B3GALT4	11.0	5.0
B3GALT9	2.0	6.0
B3GAT3	27.0	21.0
B3GLCT	4.0	8.0
B3GNT2	1030.0	962.0
B3GNT2_COMMD1	0.0	16.0
B3GNT5	0.0	3.0
B3GNT7	8.0	8.0
B3GNTL1	2.0	0.0
B4GALT1	796.0	64.0
B4GALT2	0.0	6.0
B4GALT3	73.0	16.0
B4GALT4	45.0	69.0
B4GALT5	0.0	10.0
B4GALT6	42.0	33.0
B4GALT7	16.0	15.0
B4GAT1	16.0	9.0
B9D1	2.0	2.0
B9D2	3.0	0.0
BABAM1	75.0	56.0
BABAM2	68.0	80.0
BACE2	17.0	0.0
BACH1	257.0	321.0
BACH1-IT1_BACH1	0.0	3.0
BAD	16.0	13.0
BAG1	5.0	4.0
BAG2	50.0	53.0
BAG3	0.0	2.0
BAG4	123.0	178.0
BAG5	132.0	303.0
BAG6	947.0	841.0
BAHD1	24.0	23.0
BAIAP2	7.0	0.0
BAIAP2L1	18.0	239.0
BAK1	146.0	96.0
BANF1	64.0	16.0
BANK1	7.0	135.0
BANP	2.0	2.0
BAP1	25.0	26.0
BARD1	67.0	116.0
BATF	56.0	8.0
BAX	19.0	18.0
BAZ1B	11.0	20.0
BAZ2A	372.0	333.0
BAZ2B	4.0	15.0
BBC3	16.0	8.0
BBIP1	13.0	3.0
BBLN	13.0	5.0
BBOF1	0.0	4.0
BBS1	42.0	47.0
BBS10	27.0	53.0
BBS12	4.0	17.0
BBS2	51.0	66.0
BBS4	28.0	22.0
BBS7	56.0	74.0
BBS9	5.0	15.0
BBX	71.0	34.0
BCAP29	73.0	157.0
BCAP31	116.0	69.0
BCAR1	5.0	0.0
BCAR3	0.0	2.0
BCAS2	47.0	45.0
BCAS3	38.0	50.0
BCAS4	74.0	30.0
BCAT1	421.0	552.0
BCAT2	87.0	71.0
BCCIP	109.0	113.0
BCDIN3D	9.0	2.0
BCHE	0.0	227.0
BCKDHA	221.0	119.0
BCKDHB	143.0	242.0
BCKDK	190.0	67.0
BCL10	212.0	180.0
BCL11A	8.0	8.0
BCL2	139.0	122.0
BCL2A1	33.0	11.0
BCL2L1	82.0	76.0
BCL2L10	14.0	0.0
BCL2L11	116.0	67.0
BCL2L11_ACOXL	0.0	9.0
BCL2L12	21.0	6.0
BCL2L13	177.0	261.0
BCL2L2	3.0	7.0
BCL3	0.0	3.0
BCL6B	2.0	0.0
BCL7A	74.0	22.0
BCL7B	22.0	17.0
BCL9	31.0	36.0
BCLAF1	148.0	313.0
BCLAF3	0.0	2.0
BCO1	2.0	0.0
BCOR	70.0	140.0
BCORL1	0.0	2.0
BCORP1	0.0	6.0
BCR	2.0	24.0
BCS1L	14.0	10.0
BDH1	63.0	68.0
BDH2	18.0	16.0
BDP1	14.0	5.0
BECN1	201.0	180.0
BEND3	5.0	11.0
BEND4	2.0	2.0
BET1	40.0	25.0
BET1L	259.0	320.0
BEX3	18.0	0.0
BEX4	12.0	0.0
BFAR	90.0	124.0
BHLHB9	6.0	0.0
BHLHE22	8.0	0.0
BHLHE40	508.0	163.0
BICD1	54.0	41.0
BICD1_ENSG00000277342	3.0	2.0
BICD2	6.0	15.0
BICDL2	2.0	0.0
BICRAL	45.0	81.0
BID	95.0	106.0
BIK	17.0	3.0
BIN1	76.0	9.0
BIN2	75.0	24.0
BIN3	50.0	30.0
BIRC2	431.0	539.0
BIRC3	166.0	134.0
BIRC5	362.0	283.0
BIRC6	41.0	76.0
BIRC7	2.0	0.0
BISPR	16.0	13.0
BIVM	32.0	112.0
BLCAP	53.0	73.0
BLK	161.0	164.0
BLM	161.0	281.0
BLMH	98.0	135.0
BLNK	280.0	118.0
BLOC1S1	15.0	2.0
BLOC1S1_RDH5	2.0	5.0
BLOC1S2	45.0	55.0
BLOC1S4	2.0	3.0
BLOC1S5	52.0	60.0
BLOC1S6	324.0	523.0
BLVRA	55.0	23.0
BLVRB	20.0	0.0
BLZF1	47.0	61.0
BMERB1	2.0	0.0
BMF	336.0	307.0
BMI1	47.0	123.0
BMP3	0.0	2.0
BMP8B	4.0	0.0
BMPR1A	75.0	96.0
BMPR2	103.0	156.0
