gene	COUNT(id)
MBTPS1	23
ITGB2	23
ITGB1	23
P4HB	23
ANO6	23
PDCD11	23
FHOD1	23
RTTN	23
WASHC5	23
TPX2	23
PARP8	23
IPO11	23
ECT2	23
MCM4	23
COPG1	23
ATP5F1B	23
PPP2R5C	23
ALG13	23
TBC1D9B	23
STAT6	23
BIRC2	22
RNMT	22
TACC1	22
MAST3	22
ATP7A	22
SCAF11	22
ARMC8	22
PARP9	22
ATP6V0A1	22
LYPLA1	22
UBR2	22
NCOA7	22
LMNB1	22
SLAMF7	22
CHD1L	22
PML	22
ERBIN	22
CNOT2	22
SEPTIN7	22
HELZ	22
ARHGAP9	22
RNF38	22
NUP160	22
KIF23	22
INTS8	22
YME1L1	22
INVS	22
NFX1	22
RERE	22
ADAM9	22
YY1AP1	22
FGR	22
SLC30A9	22
PACSIN2	22
OGDH	22
ZBTB1	22
THEMIS2	22
TEX9	22
MYO18A	22
DROSHA	22
RASA1	22
FIGNL1	22
SLC38A10	22
CDK5RAP3	22
KANK2	22
ANKRD27	22
DOK3	22
ANKRD17	22
MGA	22
INTS3	22
HDAC1	22
ARHGAP30	22
TUT7	22
ARHGAP11A	22
ABCC1	22
MYO9A	22
MED24	22
TUBGCP3	22
ARHGAP45	22
NPRL3	21
IFI44	21
RAD50	21
ARHGEF9	21
NDE1	21
TPCN1	21
IKZF2	21
NPEPPS	21
LAPTM5	21
POLD1	21
TTC17	21
KDM4C	21
ZNF410	21
UNC13D	21
EHBP1	21
VOPP1	21
SLC12A8	21
PPP1R16B	21
ANXA6	21
IPO8	21
MCCC2	21
CEP44	21
SETX	21
HNRNPUL1	21
CLINT1	21
SRPRA	21
RPL3	21
SLC38A2	21
EIF4B	21
PHC3	21
TBK1	21
FAM13B	21
PKM	21
IST1	21
SEC61A1	21
LPCAT1	21
TAF1C	21
DCAF8	21
CCP110	21
UVRAG	21
ZMYM6	21
UBE4A	21
SLAMF1	21
SYNE1	21
PFKM	21
ZNF827	21
NUP50	21
INTS14	21
PFKFB3	21
MX2	21
CD46	21
CAND1	21
ZMYM3	21
PTBP1	21
DDB1	21
EEF2	21
NUP58	21
RCOR3	21
ZNF655	21
NBAS	21
SCAP	21
RAB3GAP2	21
DENND2D	21
ZFAND4	21
DCTN1	21
CHD2	20
KMT2E	20
RFX5	20
DLGAP5	20
FIP1L1	20
ACLY	20
RBBP8	20
HNRNPM	20
CD44	20
GANC	20
RBPJ	20
DDX39B	20
TCEA1	20
CCDC88A	20
SYNCRIP	20
PRKDC	20
RBM6	20
NOLC1	20
BUB1B	20
CR2	20
RNASET2	20
PHTF2	20
METAP1	20
NDC1	20
EFR3A	20
IDE	20
TMBIM6	20
EVL	20
TNFRSF8	20
ADAM8	20
CTNND1	20
BRIP1	20
BECN1	20
FAN1	20
CS	20
TRAF5	20
PPHLN1	20
IGF2R	20
PRKAR1A	20
LARS2	20
CD164	20
NAP1L1	20
KCTD20	20
TAF1	20
ZNF195	20
SRC	20
PLEKHM1	20
BLM	20
SMPD4	20
B4GALT1	20
NRCAM	20
EEF1A1	20
ATXN2	20
AP3M1	20
TBC1D10C	20
NIPBL	20
INTS13	20
FAM120B	20
ARIH2	20
NFRKB	20
LMBR1	20
STK26	20
CASC3	20
NEMP1	20
PARN	20
TCERG1	20
VPS41	20
ANKZF1	20
PCNP	20
GGA3	20
IL4R	20
UBR7	20
MARCHF6	20
NISCH	20
ENO1	20
PLS3	20
STRADA	20
IRF9	20
COASY	20
INSIG1	20
PASK	20
ZNF384	20
MAGED2	19
DYNC1H1	19
ALDH18A1	19
ATXN2L	19
GNL3	19
DENND1C	19
FERMT3	19
MCM5	19
SCYL2	19
PCNT	19
SCARB1	19
CLASP1	19
CALM3	19
KIAA0319L	19
SIDT2	19
MACF1	19
PAN2	19
CDC7	19
ARMH3	19
ZNF107	19
BCL2L13	19
MAT2A	19
FAS	19
CNOT4	19
ACSL3	19
SMC1A	19
DDX11	19
NUSAP1	19
ZC3H14	19
RAB8B	19
KDM5D	19
TSC2	19
GTF3C2	19
TMEM241	19
TBC1D14	19
TANK	19
RASSF2	19
CXXC1	19
PATL1	19
CANT1	19
TWSG1	19
PARP14	19
FRYL	19
TP53BP1	19
BACH1	19
USP33	19
CCAR2	19
ABI1	19
DNMT1	19
MSH6	19
NOD2	19
RECQL	19
SERPINB9	19
ALDOA	19
ZNF202	19
MIOS	19
RCSD1	19
PPRC1	19
LRRC41	19
HBS1L	19
SAFB	19
FLII	18
ZNF146	18
EIF2AK3	18
GSDME	18
IQSEC1	18
IKZF5	18
FYTTD1	18
MASTL	18
G3BP1	18
TIMELESS	18
CALU	18
RPTOR	18
CCT2	18
HSPD1	18
MTMR4	18
TRAPPC11	18
DEPDC5	18
HNRNPH3	18
GOLM2	18
RSRC2	18
HERC4	18
SYTL3	18
CHERP	18
RUNX3	18
HPS5	18
PPP1R21	18
NUB1	18
NF2	18
RABGEF1	18
PNPLA6	18
WDR6	18
MED12	18
EXO1	18
MED1	18
NAA60	18
ACTB	18
PHF6	18
PCGF5	18
FNBP1	18
C15orf39	18
PFKP	18
EXOC2	18
AQR	18
DENND4B	18
PPM1K	18
NCSTN	18
AP1B1	18
STK10	18
RASA3	18
SLC3A2	18
NCAPD3	18
SLFN11	18
UBR1	18
SLC35E2B	18
TLR10	18
HK2	18
ALOX5	18
SEL1L	18
GMIP	18
NASP	18
TRAF1	18
AMPD2	18
PTPN23	18
MAPK6	18
DIP2B	18
NCAPG	18
IGHG3	18
PDCD6IP	18
IGHM	18
STARD4	18
ATRX	18
C2CD5	18
MLH1	18
RHOT2	18
TNPO1	18
PROSER1	18
TFDP1	18
RGS3	18
ZNF227	18
PSEN1	18
RHBDD1	18
SLC44A2	18
CDV3	18
DUSP16	18
HMBOX1	18
HIF1A	18
ANGEL2	18
HDAC5	18
FCMR	18
DARS1	18
ITSN2	18
AGPAT3	18
NOP56	18
UBE2G1	18
EPS15L1	18
SEC24D	18
IVD	18
PISD	17
ABCA6	17
EZH2	17
ACO2	17
HIPK3	17
UBE2D3	17
DRAM2	17
STAT5A	17
ZNF41	17
KMT2C	17
ATIC	17
UBA7	17
SPIN1	17
ATG9A	17
GOSR2	17
PTPN11	17
BTN2A1	17
INTS6L	17
PIAS2	17
SART3	17
ITPRID2	17
BTN3A1	17
DENND4C	17
KARS1	17
BTAF1	17
ARHGAP19	17
ZFY	17
CCND2	17
AMPD3	17
BRD8	17
SLC5A6	17
JADE1	17
FOXJ3	17
DIDO1	17
ABCC10	17
NSD1	17
SFI1	17
DPH7	17
RNGTT	17
EDA2R	17
HPS3	17
RAB3GAP1	17
PRPF6	17
RUBCNL	17
PARP10	17
DIP2A	17
SETDB1	17
FTO	17
METTL13	17
CENPO	17
KIF4A	17
TTF2	17
COG3	17
HERPUD1	17
PARG	17
SEC23B	17
MCM9	17
UTRN	17
RPS6KC1	17
HMGN2	17
ADD1	17
MAP4K1	17
RBL2	17
DHX38	17
HMGXB3	17
POLR1A	17
NAB1	17
R3HCC1L	17
GALNT2	17
RFWD3	17
NXPE3	17
TACC3	17
TRAM1	17
ZSCAN32	17
QRICH1	17
SHOC2	17
ICMT	17
DHX8	17
HEATR1	17
ZNF317	17
PCSK7	17
MYO1C	17
CBFB	17
ZNF559	17
PAFAH1B1	17
AP3B1	17
MIER1	17
CNDP2	17
RPS6KA1	17
KDM1B	17
ZSCAN25	17
KDM4A	17
ANP32E	17
RFC1	17
CYTH1	17
LAP3	17
OAS2	17
TRIM37	17
PIK3CB	17
ACTR3	17
RPN2	17
SP140L	17
TFDP2	17
CDK5RAP2	17
CPNE3	17
ADAM10	17
TLR1	17
PIK3R5	17
ATAD1	17
WDR91	17
NBN	17
TBCK	17
SUPT16H	17
TDP1	17
U2SURP	17
MARCHF8	17
TRAPPC9	16
RFTN1	16
RBL1	16
MIA3	16
MCM7	16
FAM172A	16
DUSP22	16
MFF	16
RPA1	16
TKFC	16
MICAL1	16
MFN2	16
USP15	16
TCAIM	16
DMD	16
BUB3	16
PIGG	16
TBC1D4	16
HNRNPA3	16
USP3	16
RIN3	16
RIOK3	16
RETREG3	16
HECTD1	16
HCFC1	16
CALHM2	16
MCPH1	16
RIPOR2	16
RIF1	16
RAPGEF2	16
HELLS	16
USP20	16
MCM3AP	16
HERC3	16
HLTF	16
NCF1	16
TRIM26	16
TAX1BP1	16
PHF21A	16
GUF1	16
MFSD14A	16
PIK3C2B	16
HM13	16
RBM4	16
EML4	16
TXLNGY	16
DDX60L	16
SPECC1	16
EIF3C	16
NFYC	16
TOP2A	16
LUC7L2	16
IPO9	16
PDIA4	16
ADCY3	16
PAK2	16
SDHA	16
KANSL2	16
OS9	16
DDHD2	16
ZNF142	16
ELP1	16
ARID3B	16
ZNF687	16
ANXA11	16
CPNE1	16
KIF18B	16
ELMO2	16
AUTS2	16
TMEM200A	16
POLR2B	16
LDHA	16
TMUB2	16
FCHO1	16
ILRUN	16
FYN	16
LRRC8D	16
SNX19	16
ENTPD6	16
MPPE1	16
ACSL1	16
SKP2	16
PRORP	16
ARF3	16
MLLT10	16
PXN	16
TMCO4	16
TICRR	16
LETMD1	16
FOXN3	16
HSH2D	16
NEDD4L	16
TUBGCP6	16
NOC2L	16
ZNF268	16
TMX3	16
LRCH3	16
OXSR1	16
SGSH	16
ST7	16
SAMD9L	16
AARS1	16
FDPS	16
GABPA	16
TUG1	16
BRPF1	16
JAK1	16
CUL9	16
WAC	16
FBXO38	16
ARID1B	16
ZBTB25	16
PCNX4	16
PTER	16
LGMN	16
KDM2B	16
SCAF8	16
SASH3	16
NUP133	16
SLC39A14	16
CREM	16
ZBTB32	16
TTI1	16
VRK2	16
GOLGA3	16
TRAPPC10	16
HHAT	15
PLXNC1	15
HERC5	15
POLR1B	15
LONP2	15
RNH1	15
USP54	15
OPTN	15
RALGAPB	15
TPD52	15
CR1	15
TIAL1	15
ZNF451	15
PPFIBP1	15
SHKBP1	15
ZNF217	15
ZC3H13	15
LAT2	15
PSMD2	15
PATJ	15
PPARD	15
FKBP15	15
RNF13	15
FHOD3	15
LGALS9	15
MBNL2	15
GAS7	15
RAPGEF6	15
ANKRD44	15
ITGB7	15
NOD1	15
ITPR1	15
ANKFY1	15
USP4	15
LIN54	15
TBC1D22B	15
DICER1	15
ANAPC5	15
ZNF800	15
ZNF26	15
JAK2	15
JAK3	15
IREB2	15
DCAF11	15
AP4E1	15
PARP1	15
PARVB	15
RGS14	15
GRIPAP1	15
ARHGAP4	15
RALGPS2	15
DOCK11	15
INTS10	15
CPSF6	15
INTS2	15
KAT7	15
DHX57	15
ARCN1	15
FASN	15
MARS1	15
APTX	15
SMARCC2	15
SLC29A1	15
POC1B	15
CDKAL1	15
HEATR5B	15
MTMR14	15
DTL	15
LARP7	15
KIAA1191	15
SCYL1	15
SCYL3	15
FAAP100	15
HMGN1	15
CIRBP	15
N4BP2	15
PLD1	15
NCDN	15
WDR37	15
HMGA1	15
CIT	15
NAGK	15
XPO7	15
DDX60	15
PPP1CB	15
ZNF761	15
KIF11	15
FNBP4	15
RPRD1B	15
SSR1	15
SELL	15
RACK1	15
ACADVL	15
CHTF8	15
TCL1A	15
RAB6A	15
EXOSC10	15
BZW1	15
CD86	15
CHI3L2	15
RBM5	15
MAN2B1	15
FOXRED2	15
CUL7	15
FAM91A1	15
MTRR	15
PPP4R1	15
SAR1A	15
FSD1L	15
KPNA6	15
MED23	15
BLK	15
USP14	15
CHPF2	15
ZFAT	15
RELCH	15
CD226	15
OXCT1	15
RBM10	15
CCR6	15
WDFY1	15
MDC1	15
GLS	15
CEP57L1	15
CEP63	15
SERPINB8	15
HLA-B	15
CEP78	15
GLG1	15
NUP93	15
C7orf50	15
SEPTIN6	15
ZNF160	15
PMS1	15
EPRS1	15
XRN2	15
UBTF	15
EIF4E2	15
TRABD	15
NCAPH	15
TMEM263	14
CUL1	14
SLC9A8	14
MTDH	14
CCNC	14
CTNNA2	14
CTDSPL2	14
PRKAA1	14
MCM3	14
ZNF207	14
CCDC14	14
ADGRG5	14
AFTPH	14
FLI1	14
SNAP23	14
CDK12	14
NADK	14
NPC1	14
TBC1D31	14
NUCB2	14
ALG9	14
NMD3	14
CYRIB	14
FRMD8	14
SLCO4A1	14
AASDH	14
CDKN1A	14
ACTR2	14
SLTM	14
PRMT7	14
UBA6	14
CYFIP1	14
ZNF615	14
METTL8	14
CCDC82	14
NUP88	14
ZC3H12A	14
KAT14	14
THAP9-AS1	14
ACSL5	14
TBRG4	14
FKBP5	14
ORC1	14
DIS3L	14
METTL16	14
RBBP4	14
RCC1	14
LDAH	14
CDC25B	14
FAM174B	14
CD300A	14
POU2AF1	14
ACAP2	14
PPP1R12A	14
MRPS6	14
AKT2	14
ZNF75D	14
PITRM1	14
GSE1	14
NR3C1	14
ZNF23	14
SMARCAL1	14
RIC1	14
E2F7	14
DOT1L	14
ATP11A	14
HLA-DQB1	14
GPHN	14
MAPK7	14
POLDIP3	14
IGHM_IGHV3-23	14
XPR1	14
SERBP1	14
ELAC2	14
POLE	14
CEP57	14
GLE1	14
MYD88	14
SF3B2	14
ATL2	14
CALR	14
ATG4B	14
TSC1	14
AMMECR1L	14
DDX17	14
SH3BP2	14
MARF1	14
CACNB4	14
TARDBP	14
LNPK	14
GGT1	14
ROCK1	14
MORF4L2	14
ARPC1B	14
GMFB	14
CEPT1	14
RAD54L	14
SELENOI	14
E2F8	14
USO1	14
EZR	14
ZWINT	14
EDEM1	14
C11orf54	14
GOLGB1	14
BNIP2	14
BMS1	14
TCP1	14
EDRF1	14
DGKZ	14
HSPH1	14
RRM2B	14
SAT1	14
HVCN1	14
HNF1B	14
IBTK	14
GPAT4	14
SUSD6	14
BCAT1	14
MAP4K2	14
PELI1	14
MIS18BP1	14
SEC23A	14
IGF2BP3	14
PXK	14
SINHCAF	14
MOB1A	14
IL2RB	14
TEX10	14
MAX	14
YLPM1	14
PIK3C3	14
MTMR10	14
RANBP3	14
YTHDF3	14
MBD5	14
TTC13	14
SLC30A5	14
TMPO	14
IRF2	14
GBP2	14
TPR	14
PABIR2	14
VPS8	14
ZBTB20	14
CORO7	14
HDAC6	14
LINC00426	14
DARS2	14
PRRC2B	14
OXR1	14
PLOD1	14
STIM1	14
LIMD1	14
TASOR	14
STK4	14
MAP3K7	14
GFPT1	14
THUMPD3	14
RNF6	14
LINS1	14
CAP1	14
ARID1A	14
FAM126A	14
PARP6	14
SLC16A1	14
TARS1	14
INPP5B	14
PARP15	14
POFUT2	13
DDR1	13
QTRT2	13
TOP3A	13
FARP2	13
RBM25	13
MRM2	13
GALNT6	13
TRANK1	13
FANCA	13
POT1	13
TOR1AIP1	13
RALB	13
DHX15	13
GGNBP2	13
MYBBP1A	13
GON4L	13
TFEB	13
FSCN1	13
PRUNE1	13
GTDC1	13
CNTRL	13
MYO6	13
RASSF5	13
RABGAP1	13
PRPF39	13
GRK2	13
PRMT2	13
COG6	13
ZSCAN30	13
VPS26C	13
ZNF664	13
TOP1	13
MIEF1	13
DCLRE1C	13
MFSD10	13
DCP2	13
DDX41	13
RBCK1	13
MPZL1	13
CPNE5	13
GPI	13
MMS22L	13
TCF19	13
PRMT5	13
VASH2	13
FUS	13
WDR33	13
DDHD1	13
CSNK1A1	13
PNISR	13
TESK2	13
MTR	13
PTPA	13
CKAP2	13
ZNF644	13
ZNF76	13
DCAF5	13
MTREX	13
FDFT1	13
GPATCH2L	13
FUBP1	13
RBM23	13
CUL5	13
ERCC3	13
RHOH	13
SLC2A5	13
USP34	13
YWHAB	13
HERC6	13
CAMK2D	13
IP6K2	13
RO60	13
SLC25A40	13
HGS	13
TLK2	13
PAX5	13
SLAMF6	13
TANC1	13
IL32	13
LMNA	13
AP5Z1	13
PAICS	13
TMOD3	13
OXA1L	13
KAT6B	13
AKAP11	13
AKAP8	13
TNKS	13
SMARCA4	13
AMD1	13
NLN	13
ANXA5	13
RNF138	13
ANKLE2	13
P3H1	13
RNF14	13
SLC37A1	13
RNF146	13
FAF2	13
HLA-F	13
ZNF445	13
NCOA4	13
UHRF1BP1L	13
BTK	13
EIF4E	13
RUBCN	13
WSB1	13
B3GALNT2	13
SEH1L	13
UGGT2	13
SEC63	13
EIF2AK2	13
PER1	13
BBX	13
ICAM1	13
BLOC1S6	13
EIF5B	13
ELF4	13
IL10RA	13
LRRC28	13
SHC1	13
LPXN	13
LRCH1	13
XRCC5	13
ZNF558	13
HMMR	13
ATM	13
RBM47	13
ELP2	13
RRP12	13
SZRD1	13
DZIP3	13
PHF19	13
SF3A1	13
SMG1	13
NGLY1	13
ZNF589	13
GUCD1	13
AFDN	13
ZFR	13
ZGRF1	13
OAS1	13
ZDHHC13	13
ZFYVE26	13
NVL	13
ZDHHC21	13
ZKSCAN5	13
GTPBP1	13
ZDHHC6	13
ACBD5	13
SSR3	13
KIAA1109	13
CD274	13
CD2AP	13
CCL22	13
KDM5B	13
NUP107	13
ACADM	13
CD74	13
AGRN	13
SRRM2	13
GZF1	13
SSTR3	13
WDR62	13
TNPO2	13
TRPV2	12
ELL2	12
EMC1	12
SETDB2	12
UFM1	12
ASCC1	12
PDIA6	12
ELOVL5	12
ASPH	12
DDX24	12
CLPX	12
PTP4A3	12
KIFAP3	12
EML2	12
IGHV1-69D_IGHG3	12
SUB1	12
ATP1A1	12
SRSF4	12
ATAD2	12
STYX	12
SPOP	12
ERAP2	12
VPS13C	12
UBXN4	12
CTBS	12
CTNNA1	12
KRBA1	12
ABCF2	12
LCOR	12
ABCF1	12
SRP72	12
LSS	12
TRAF4	12
TMCO3	12
PPP2R1B	12
IFNAR1	12
EIF1AD	12
DEF8	12
AACS	12
TRAK1	12
IDH3A	12
EFTUD2	12
SCIMP	12
SCAPER	12
IARS2	12
SCAF4	12
ERMARD	12
PDS5B	12
ERCC6	12
SRSF10	12
ABCE1	12
NUDCD3	12
KPNA1	12
SRCAP	12
PUF60	12
MTOR	12
LSM14A	12
CLCN3	12
TRMU	12
PUS7L	12
UIMC1	12
TMEM273	12
EIF4A1	12
PDS5A	12
TUBGCP5	12
KIF2A	12
ACOX3	12
MSH5	12
DBF4B	12
KDM2A	12
NPM1	12
NLGN4Y	12
SNX1	12
ZBTB21	12
LINC00667	12
POMT1	12
ITCH	12
SLC7A1	12
PPIL2	12
TTC31	12
TTC27	12
SLC35B3	12
MROH1	12
AP1G2	12
APAF1	12
TPM3	12
LIG3	12
PREB	12
KAT6A	12
TFG	12
STARD3NL	12
TMEM209	12
LAS1L	12
ORC3	12
THOC2	12
SMC5	12
PPFIBP2	12
NLRP2	12
AFG3L2	12
SMARCE1	12
POU2F2	12
ORC4	12
KANSL1	12
NOC3L	12
GANAB	12
APEH	12
SAP130	12
KXD1	12
STT3A	12
CNTROB	12
ENTPD1-AS1	12
IL9R	12
TOPBP1	12
KIDINS220	12
GGA2	12
CSNK2A1	12
NELFCD	12
ARHGEF18	12
ARMC9	12
CNOT7	12
TMEM201	12
ARMCX2	12
IL18R1	12
PCK2	12
CNN2	12
SPAST	12
INSIG2	12
ZNF106	12
GCSAM	12
PALM2AKAP2	12
ADA2	12
CRYBG1	12
APOBEC3F	12
